campaign_id,organization_id,platform,optimization_goal,daily_budget,total_budget,target_cpa,target_roas,start_date,end_date,product_category,brand_tier,audience_size,base_ctr,base_cvr,aov
campaign_000001,org_0373,amazon,roas,1734.3425956133708,26740.855203335446,,3.107371121880535,2025-10-09,2025-11-12,beauty,premium,medium,0.002769140460803328,0.09999159061078525,287.71054180315
campaign_000002,org_0741,meta,roas,819.7767459003093,92865.2487386422,,4.952803370775429,2025-10-25,2026-01-10,electronics,mid,narrow,0.010253110264336543,0.018128351457529356,51.19402144307835
campaign_000003,org_0178,google,cpa,7.653353810370416,12619.025859010735,125.09444248403156,,2025-11-30,2026-03-22,home,value,broad,0.024099056158066467,0.013234440433652668,34.94785399039735
campaign_000004,org_0559,amazon,cpa,973.6252091513938,51720.44366933438,37.301257261406214,,2025-09-22,2025-11-24,beauty,value,medium,0.004567180023045666,0.25,18.377003655644017
campaign_000005,org_0744,amazon,cpa,216.43961011612723,24029.202745009243,140.7569163802327,,2025-08-15,2025-11-04,travel,value,medium,0.003199612997971255,0.10283974513492884,26.67195247807761
campaign_000006,org_0968,meta,cpa,274.9307541733879,13141.619477781565,69.17835973380419,,2025-08-20,2025-12-16,home,mid,medium,0.014909296690546402,0.034633146584668935,84.5976685134446
campaign_000007,org_0300,amazon,cpa,1992.6278454077205,149155.53940074425,36.328199307070584,,2025-11-14,2026-02-21,apparel,mid,narrow,0.0052238735603627766,0.10462216324093691,68.27035356268851
campaign_000008,org_0632,meta,conversions,63.223720273890315,2907.7152628898843,,,2025-11-10,2025-12-14,beauty,value,narrow,0.004935670555179807,0.024926150336293845,28.845902062555517
campaign_000009,org_0725,amazon,cpa,1252.899731728463,42335.08254315179,18.635241475433364,,2025-08-03,2025-09-25,home,mid,narrow,0.006470200023195851,0.14436090973152135,81.60801435784163
campaign_000010,org_0316,meta,conversions,160.29600362677434,8628.589144871137,,,2025-08-09,2025-09-08,electronics,mid,broad,0.001,0.015113805524315967,41.9744513788583
campaign_000011,org_0124,google,cpa,509.1784529571499,223800.32909276942,95.85966855786582,,2025-10-15,2026-02-09,beauty,mid,medium,0.029420363845267677,0.042450393341833426,50.71197427238289
campaign_000012,org_0839,google,roas,106.02990569384278,6290.898583014393,,1.799335811516378,2025-10-05,2025-11-02,beauty,value,broad,0.019567506250960168,0.03520032555296962,16.886947860600724
campaign_000013,org_0647,amazon,roas,2324.2653023627913,48497.38728610393,,2.7468102806629453,2025-11-26,2025-12-20,electronics,premium,medium,0.0035992496324713723,0.07746103676457898,180.08904529037696
campaign_000014,org_0478,google,conversions,118.67476048104614,5948.657488154436,,,2025-11-09,2025-12-29,home,value,medium,0.017308763926772684,0.06970691679602531,39.346006624380365
campaign_000015,org_0036,amazon,conversions,283.0943763610922,17326.216710493798,,,2025-07-26,2025-11-12,apparel,mid,medium,0.001,0.11456916152156292,70.33246898639746
campaign_000016,org_0396,google,cpa,1351.9268723259381,48013.474629294025,63.324200761257444,,2025-11-01,2026-01-12,beauty,premium,medium,0.03708434771715347,0.06149906021948543,143.17158015304247
campaign_000017,org_0333,meta,conversions,2487.74532444964,75370.23772572023,,,2025-08-03,2025-08-26,food,value,medium,0.012470163054839696,0.005,23.89121082079242
campaign_000018,org_0270,amazon,roas,111.51620319279692,10026.036392663775,,1.5955067772769795,2025-11-18,2026-02-22,food,value,medium,0.0021927312728152936,0.1085961463527073,21.403277274052883
campaign_000019,org_0318,google,cpa,71.44379808863054,2556.5839735343543,99.93037532034894,,2025-09-08,2025-10-17,auto,mid,narrow,0.05339717778441197,0.028318938358863094,76.2290331380963
campaign_000020,org_0175,amazon,conversions,452.0742978938097,21506.595771055505,,,2025-11-02,2026-01-31,electronics,value,medium,0.004745837112281685,0.14431963515433305,39.65442218057116
campaign_000021,org_0948,amazon,cpa,479.8467869952517,31749.40849662025,147.06756101735098,,2025-09-29,2025-11-30,beauty,value,narrow,0.006380519030745302,0.21773454681394008,20.793123907866203
campaign_000022,org_0320,meta,roas,106.54463742227023,3572.868147449476,,3.8824028686811602,2025-08-09,2025-10-24,electronics,value,narrow,0.005495392575914238,0.03842207966807635,32.07606867711465
campaign_000023,org_0698,meta,cpa,1016.3989230741042,49298.071417810446,114.51432135464943,,2025-12-10,2026-01-15,auto,value,narrow,0.001,0.044293131047064685,15.887773189264005
campaign_000024,org_0703,amazon,cpa,4146.591256887144,156283.9732603511,85.95409366638562,,2025-10-27,2025-12-04,electronics,value,medium,0.001,0.18306672729560555,24.09663470763003
campaign_000025,org_0298,google,roas,399.13630017244196,25552.508235235964,,4.719784603634108,2025-10-26,2025-12-06,home,value,medium,0.0524125865072016,0.0500354990753953,22.897067744310416
campaign_000026,org_0638,google,roas,197.7933295133699,29771.78947318007,,4.217231325436885,2025-10-11,2026-01-25,travel,mid,medium,0.04194641032010516,0.03905632427358535,85.56825278237366
campaign_000027,org_0733,google,conversions,158.31995691868025,15738.025826752355,,,2025-11-08,2025-12-28,apparel,value,broad,0.008787073812352006,0.005,16.705791750101415
campaign_000028,org_0382,meta,roas,69.4334120970674,5284.840213442559,,3.9525254855856753,2025-08-05,2025-11-08,food,mid,broad,0.018912683488125345,0.025919170646329683,78.16710657544988
campaign_000029,org_0323,google,conversions,225.05294575492806,22480.82045270931,,,2025-10-08,2025-11-17,apparel,mid,narrow,0.03626735816796203,0.0152056197409218,87.81315445623329
campaign_000030,org_0900,meta,conversions,1336.0024022894513,107734.721380233,,,2025-10-06,2025-12-13,beauty,premium,narrow,0.013531008565304009,0.009255312746770541,207.53640171072334
campaign_000031,org_0991,amazon,cpa,2093.432480458147,50134.23567639327,25.578065452012314,,2025-08-09,2025-11-11,home,value,medium,0.004226644260039223,0.18156407267952915,35.653236457983255
campaign_000032,org_0503,google,cpa,872.0386898223749,58703.6469873806,63.76674769736707,,2025-09-17,2025-11-03,food,mid,broad,0.014653872685579302,0.02033736150550349,77.14778106833224
campaign_000033,org_0170,amazon,conversions,175.52554840197996,3574.1532218443986,,,2025-07-28,2025-09-08,auto,mid,narrow,0.006532517080500613,0.20000744658920397,46.02320061961698
campaign_000034,org_0081,google,conversions,88.3351007547891,58148.66104343107,,,2025-08-12,2025-12-04,auto,value,medium,0.04234264303856917,0.062025548545857706,19.811213830442494
campaign_000035,org_0762,meta,cpa,679.7494559564709,15616.216865601906,59.078413668642646,,2025-08-22,2025-09-17,beauty,premium,medium,0.01189839854382293,0.023394564626684166,119.53113276915433
campaign_000036,org_0510,google,roas,168.17566227506546,9153.54241950196,,3.9879763381980724,2025-08-09,2025-10-04,beauty,premium,narrow,0.027107547873436947,0.02784611663451003,259.625243537288
campaign_000037,org_0235,meta,roas,6253.43351399338,190211.58633887628,,4.311604771648313,2025-11-04,2025-11-25,electronics,mid,narrow,0.002435955388478772,0.013419735848154951,44.55252158639885
campaign_000038,org_0592,amazon,conversions,278.99238262485187,16798.298441096096,,,2025-08-15,2025-11-07,auto,premium,narrow,0.005658242687036086,0.04369446999462493,194.10703871347746
campaign_000039,org_0915,amazon,cpa,1611.1969690196966,59796.07508997236,117.15315930461128,,2025-07-27,2025-11-01,electronics,mid,medium,0.005556260898708916,0.15893851415130272,70.65916044354509
campaign_000040,org_0170,google,cpa,887.8950751962925,24816.75721370229,140.52953120549822,,2025-08-26,2025-09-20,auto,mid,narrow,0.03919127145095863,0.04700254344702438,81.06697040662094
campaign_000041,org_0466,meta,conversions,1958.0033493975209,501765.2882384528,,,2025-10-08,2026-01-19,travel,mid,medium,0.005658297108912967,0.005273053877405713,77.72441473954342
campaign_000042,org_0373,google,roas,815.470210966574,30224.3590422638,,2.527849568347586,2025-10-09,2025-11-03,electronics,value,broad,0.00794295946781358,0.051803925198910375,22.350352165502542
campaign_000043,org_0270,meta,cpa,158.35872600175546,7407.979803135673,19.27936433995607,,2025-10-20,2025-11-21,auto,value,narrow,0.016711723873408958,0.015909116806761246,37.20956774517605
campaign_000044,org_0789,meta,conversions,193.97071919676003,35534.02311095996,,,2025-12-03,2026-03-08,beauty,mid,broad,0.0057700852804296165,0.01222534056603621,83.36957555347742
campaign_000045,org_0611,google,roas,125.78109960079513,15253.282045174878,,3.023259532111776,2025-12-15,2026-03-27,food,mid,broad,0.01748404387748847,0.051762946438974534,64.85749678509276
campaign_000046,org_0705,google,conversions,93.40119889959988,13867.69287660844,,,2025-09-13,2025-12-30,food,mid,medium,0.06348290270974821,0.058501994077800885,71.41561765120977
campaign_000047,org_0859,google,conversions,1236.1067175807996,26084.929809598965,,,2025-10-29,2025-11-13,beauty,mid,broad,0.033011233224163335,0.04157631548274159,97.87928090236775
campaign_000048,org_0456,amazon,conversions,211.62311228442647,31952.995522244615,,,2025-07-28,2025-11-20,auto,value,narrow,0.011482692348812685,0.10928965188404302,26.710623958491922
campaign_000049,org_0120,meta,conversions,30.089642495692303,11179.158523971897,,,2025-11-02,2026-02-13,beauty,mid,medium,0.010441291975637671,0.01830711718263113,47.53290135152578
